File Name,Type,Provider,Issue date,File Link
Business Analysis & Process Management,Single,Coursera Project Network,February 2024,https://drive.google.com/file/d/1vCnXuL0rYFFUqglhPhJvjnlmc_ESYKQL/view?usp=drivesdk
Google Project Management,Ggl - Spl,Google,October 2025,https://drive.google.com/file/d/12dC_Qjv0bHSpL_1XtxQSmEsC0rFf6D4S/view?usp=drivesdk
Foundations of Project Management,Ggl - 1/7,Google,October 2025,https://drive.google.com/file/d/1kpWp0lKU3QnafxsowKuSHEGYMwJHOK3D/view?usp=drive_link
Project Initiation: Starting a Successful Project,Ggl - 2/7,Google,October 2025,https://drive.google.com/file/d/1WfO7MOtNu9l-gJ4ZAFUBGR5y0Vo0VLGx/view?usp=drive_link
Project Planning: Putting It All Together,Ggl - 3/7,Google,October 2025,https://drive.google.com/file/d/1um0jqiDSvcbADlsA_GK5gNAA_frqb8Na/view?usp=drivesdk
Project Execution: Running the Project,Ggl - 4/7,Google,October 2025,https://drive.google.com/file/d/12t8suBLtmvk4fYula4u4TgNpBa9B2y78/view?usp=drivesdk
Agile Project Management,Ggl - 5/7,Google,October 2025,https://drive.google.com/file/d/17p1FMtamMIvNZYlx9K5vM3OR-eK4mId6/view?usp=drivesdk
Applying Project Management in the Real World,Ggl - 6/7,Google,October 2025,https://drive.google.com/file/d/1fAaDdANYBevPMcJ9p7RgtgOiP4I_DKPD/view?usp=drivesdk
Accelerate Your Job Search with AI,Ggl - 7/7,Google,October 2025,https://drive.google.com/file/d/1tIhb64JGVs-IuFPVJ0rdhyqG-halxmdJ/view?usp=drive_link
IBM IT Scrum Master,IBM - SPL,IBM,October 2024,https://drive.google.com/file/d/1LViV_HoWC1xdp9BJAjzpXoozhIU7INJz/view?usp=drive_link
Introduction to Scrum Master Profession,IBM - 1/8,Skillup,October 2025,https://drive.google.com/file/d/1seB_lV_BVkblKR6VkgOUirUcCS07_L-S/view?usp=drivesdk
Information Technology (IT) Fundamentals,IBM - 2/8,IBM,October 2025,https://drive.google.com/file/d/1eKmrYf7tbDbAHhjQmqAA2JfbqwaS-FIu/view?usp=drivesdk
Introduction to Software Engineering,IBM - 3/8,IBM,October 2025,https://drive.google.com/file/d/1oz8bwhDWfqYO_R33B7CXvDJ1fxeCTwpN/view?usp=drivesdk
Introduction to DevOps,IBM - 4/8,IBM,October 2025,https://drive.google.com/file/d/1yhai3VpUTWgnxnzQkDMmyOGJQROfogVx/view?usp=sharing
Introduction to Agile Development and Scrum,IBM - 5/8,IBM,October 2025,https://drive.google.com/file/d/1KCvHEOnaZxbITEL8FXe3w3uG0oUUKnmG/view?usp=sharing
Working as a Scrum Master,IBM - 6/8,Skillup,October 2024,https://drive.google.com/file/d/185_xj6yRxfgK8fR-PT-MbVThugC4o11c/view?usp=drive_link
Scrum Master Capstone,IBM - 7/8,Skillup,October 2024,https://drive.google.com/file/d/1WQgKEDh5s0oU27e1t1eZntGIprXPPu4h/view?usp=drive_link
Practice Exam for Certified Scrum Master (CSM),IBM - 8/8,Skillup,October 2024,https://drive.google.com/file/d/1O5xUUkWaJPik_o25UQ0NDAkNVTYihhgP/view?usp=drive_link
20 Rules for Visual Communication,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1Vp5decncjGfFuC_WdiFNMZ5T0NR3-75F/view?usp=drivesdk
Critical Thinking for Better Judgment,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1uh2muPwiKsBrVgX6j5fanUXOdGbkLwg4/view?usp=drivesdk
Excel 2007 Essential Training,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/10HhVNp7nl8rg8U86jlleJ00rELZGM7VF/view?usp=drivesdk
Improving Your Thinking 2020,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1S0axt5bzJONUhbemu2VHO73S4RQQhEKZ/view?usp=drivesdk
Learning Excel Data Analysis,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1FCvaNUlakmdK0M-nIpYRWjhVohpoSaX7/view?usp=drivesdk
Learning Personal Branding,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1vTKqe1j3zcGaJBixP4KZAa0JyquZ9wnf/view?usp=drivesdk
Skills for Inclusive Conversations,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1FqQlS6iXFB1e738Prc_EUiSKH1eh4f2B/view?usp=drivesdk
Social Media Marketing,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1BfPCQoRPIKrWxg7ITurw648h0kCs7Plv/view?usp=drivesdk
Writing with Impact,Single,LinkedIn Learning,March 2024,https://drive.google.com/file/d/1cHXE-YykZrQvJCizBdtAt47RKOTTugit/view?usp=drivesdk
English for Common Interactions in the Workplace,Single,Pontificia Universidad Católica de Chile,February 2024,https://drive.google.com/file/d/1EFSKXTHLVXGNn9wv7KXC35G5oTF4DXeY/view?usp=drivesdk
Private Equity and Venture Capital,Single,Università Bocconi,October 2025,https://drive.google.com/file/d/1_uEs9-Z1vzkuTryESfscgGvpfZWv-ZnN/view?usp=drivesdk
Business and Marketing Strategies Specialization,UL - Spl,University of London,October 2025,https://drive.google.com/file/d/1ZhnCFa0iW01qjC_yOJCfHBGdkbzvi9em/view?usp=drivesdk
Fundamentals of Marketing Strategy,UL - 1/4,University of London,October 2025,https://drive.google.com/file/d/1bnMmIUhj3sf56mUurO0bLlYf5p7wZbj1/view?usp=drivesdk
Fundamentals of International Business,UL - 2/4,University of London,October 2025,https://drive.google.com/file/d/1Nu5m-VrGnY7GdjAfkyNLLThj1Pz4fZ9m/view?usp=drive_link
Operations Systems Excellence,UL - 3/4,University of London,October 2025,https://drive.google.com/file/d/1ARHUYB93vrQpMiwl6zFMOyd4JuVt8jYj/view?usp=drivesdk
"Consumption, Marketing and Culture",UL - 4/4,University of London,October 2025,https://drive.google.com/file/d/116SQKQeqjChx4iYzolbxr450BN3O2qUj/view?usp=drivesdk